name,album,artist,id,release_date,popularity,danceability,energy,valence,loudness,kmeans
I Don't Owe You Anything - 2011 Remaster,Complete,The Smiths,7hCtjVYuEA8G4srgXbxKww,2011-09-26,34,0.696,0.432,0.597,-9.881,0
Suffer Little Children - 2011 Remaster,Complete,The Smiths,1vkLg8wZ9tuetPZ1FhIS0Q,2011-09-26,32,0.633,0.51,0.711,-9.433,0
The Headmaster Ritual - 2011 Remaster,Complete,The Smiths,1hTcPePc2USb3JHv6Qf9VL,2011-09-26,33,0.388,0.955,0.693,-6.184,0
Rusholme Ruffians - 2011 Remaster,Complete,The Smiths,2d2xUQCWTHgt5Oh1VHU5FL,2011-09-26,31,0.592,0.895,0.901,-7.005,0
I Want the One I Can't Have - 2011 Remaster,Complete,The Smiths,63bqA18MfI86JU19zE5YrX,2011-09-26,33,0.35,0.957,0.64,-5.443,0
What She Said - 2011 Remaster,Complete,The Smiths,3twNF3PwpFIDWgw6DImybZ,2011-09-26,30,0.138,0.961,0.184,-5.462,1
That Joke Isn't Funny Anymore,Complete,The Smiths,1vMvOXItGnvIZ0sS5bhIkC,2011-09-26,32,0.165,0.709,0.338,-7.409,1
Nowhere Fast - 2011 Remaster,Complete,The Smiths,5w2wadefCblTBfpFOuMJOh,2011-09-26,31,0.503,0.893,0.832,-5.91,0
Well I Wonder - 2011 Remaster,Complete,The Smiths,6evlR7gkeGBbIpcunZlehG,2011-09-26,34,0.643,0.59,0.818,-10.843,0
Barbarism Begins at Home - 2011 Remaster,Complete,The Smiths,55qCRk7KyQzmraFz2kxMl3,2011-09-26,31,0.533,0.793,0.91,-5.953,0
Meat Is Murder - 2011 Remaster,Complete,The Smiths,2qS4WO9DkOGsLhGmS9XAGd,2011-09-26,28,0.408,0.545,0.389,-10.78,1
The Queen Is Dead - 2011 Remaster,Complete,The Smiths,5wLxWB0Yk6cA1D2ZdAMhzE,2011-09-26,30,0.513,0.898,0.61,-6.242,0
"Frankly, Mr. Shankly - 2011 Remaster",Complete,The Smiths,2NzPrOBYFLEWsbvrMSIfom,2011-09-26,31,0.713,0.748,0.924,-6.53,0
I Know It's Over - 2011 Remaster,Complete,The Smiths,0xC9R0fYwDIvTvIVU1Dnrd,2011-09-26,33,0.407,0.424,0.404,-10.583,1
Never Had No One Ever - 2011 Remaster,Complete,The Smiths,4JXGKTSBLi1wbLMX7MFa6P,2011-09-26,28,0.27,0.535,0.336,-8.673,1
Cemetry Gates - 2011 Remaster,Complete,The Smiths,3oR7wlVVulnvoa3tn0iT71,2011-09-26,31,0.55,0.796,0.622,-7.007,0
Bigmouth Strikes Again - 2011 Remaster,Complete,The Smiths,45F82J0VTUxMXHRb1B0Ot9,2011-09-26,34,0.401,0.901,0.839,-5.011,0
The Boy with the Thorn in His Side - 2011 Remaster,Complete,The Smiths,0KFe3rA9rLpIcqakXy4Vuz,2011-09-26,34,0.514,0.87,0.847,-6.516,0
Vicar in a Tutu - 2011 Remaster,Complete,The Smiths,2VSYsKvA2smlskkrMv4dtT,2011-09-26,28,0.495,0.882,0.807,-7.272,0
There Is a Light That Never Goes Out - 2011 Remaster,Complete,The Smiths,5KO4pescqTzrSUharDHr19,2011-09-26,34,0.523,0.769,0.876,-5.855,0
